hgnc_symbol	curated_protein_type
MMD	Receptor
MPL	Receptor
MRC1	Receptor
MRGPRD	Receptor
MRGPRE	Receptor
MRGPRF	Receptor
MRGPRG	Receptor
MRGPRX1	Receptor
MRGPRX2	Receptor
MRGPRX3	Receptor
MRGPRX4	Receptor
MS4A2	Receptor
MSR1	Receptor
MST1R	Receptor
MTNR1A	Receptor
MTNR1B	Receptor
MUSK	Receptor
NCR2	Receptor
NGFR	Receptor
NMBR	Receptor
NMUR1	Receptor
NMUR2	Receptor
NOTCH1	Receptor
NOTCH2	Receptor
NOTCH4	Receptor
NPBWR1	Receptor
NPBWR2	Receptor
NPFFR1	Receptor
NPFFR2	Receptor
NPR1	Receptor
NPR2	Receptor
NPR3	Receptor
NPSR1	Receptor
NPY1R	Receptor
NPY2R	Receptor
NPY4R	Receptor
NPY5R	Receptor
NRP1	Receptor
NRP2	Receptor
NTRK1	Receptor
NTRK2	Receptor
NTRK3	Receptor
NTSR1	Receptor
NTSR2	Receptor
OLR1	Receptor
OPN1LW	Receptor
OPN1SW	Receptor
OPN3	Receptor
OPN4	Receptor
OPRD1	Receptor
OPRK1	Receptor
OPRL1	Receptor
OPRM1	Receptor
OR10A2	Receptor
OR10A3	Receptor
OR10A4	Receptor
OR10A5	Receptor
OR10A6	Receptor
OR10A7	Receptor
OR10AD1	Receptor
OR10AG1	Receptor
OR10C1	Receptor
OR10D3	Receptor
OR10G2	Receptor
OR10G3	Receptor
OR10G4	Receptor
OR10G6	Receptor
OR10G7	Receptor
OR10G8	Receptor
OR10G9	Receptor
OR10H1	Receptor
OR10H2	Receptor
OR10H3	Receptor
OR10H4	Receptor
OR10H5	Receptor
OR10J1	Receptor
OR10J3	Receptor
OR10J5	Receptor
OR10K1	Receptor
OR10K2	Receptor
OR10P1	Receptor
OR10Q1	Receptor
OR10R2	Receptor
OR10S1	Receptor
OR10T2	Receptor
OR10V1	Receptor
OR10W1	Receptor
OR10X1	Receptor
OR10Z1	Receptor
OR11A1	Receptor
OR11G2	Receptor
OR11H1	Receptor
OR11H12	Receptor
OR11H2	Receptor
OR11H4	Receptor
OR11H6	Receptor
OR11L1	Receptor
OR12D2	Receptor
OR12D3	Receptor
OR13A1	Receptor
OR13C2	Receptor
OR13C3	Receptor
OR13C4	Receptor
OR13C5	Receptor
OR13C8	Receptor
OR13C9	Receptor
OR13D1	Receptor
OR13F1	Receptor
OR13G1	Receptor
OR13H1	Receptor
OR13J1	Receptor
OR14A16	Receptor
OR14A2	Receptor
OR14C36	Receptor
OR14I1	Receptor
OR14J1	Receptor
OR14K1	Receptor
OR1A1	Receptor
OR1A2	Receptor
OR1B1	Receptor
OR1C1	Receptor
OR1D2	Receptor
OR1D5	Receptor
OR1E1	Receptor
OR1E2	Receptor
OR1F1	Receptor
OR1G1	Receptor
OR1I1	Receptor
OR1J1	Receptor
OR1J2	Receptor
OR1J4	Receptor
OR1K1	Receptor
OR1L1	Receptor
OR1L3	Receptor
OR1L4	Receptor
OR1L6	Receptor
OR1L8	Receptor
OR1M1	Receptor
OR1N1	Receptor
OR1N2	Receptor
OR1Q1	Receptor
OR1S1	Receptor
OR1S2	Receptor
OR2A12	Receptor
OR2A14	Receptor
OR2A2	Receptor
OR2A25	Receptor
OR2A4	Receptor
OR2A5	Receptor
OR2A7	Receptor
OR2AE1	Receptor
OR2AG1	Receptor
OR2AG2	Receptor
OR2AJ1	Receptor
OR2AK2	Receptor
OR2AP1	Receptor
OR2AT4	Receptor
OR2B11	Receptor
OR2B2	Receptor
OR2B3	Receptor
OR2B6	Receptor
OR2C1	Receptor
OR2C3	Receptor
OR2D2	Receptor
OR2D3	Receptor
OR2F1	Receptor
OR2F2	Receptor
OR2G2	Receptor
OR2G3	Receptor
OR2G6	Receptor
OR2H1	Receptor
OR2H2	Receptor
OR2J1	Receptor
OR2J2	Receptor
OR2J3	Receptor
OR2K2	Receptor
OR2L13	Receptor
OR2L2	Receptor
OR2L3	Receptor
OR2L5	Receptor
OR2L8	Receptor
OR2M2	Receptor
OR2M3	Receptor
OR2M4	Receptor
OR2M5	Receptor
OR2M7	Receptor
OR2S2	Receptor
OR2T1	Receptor
OR2T10	Receptor
OR2T11	Receptor
OR2T12	Receptor
OR2T2	Receptor
OR2T27	Receptor
OR2T29	Receptor
OR2T3	Receptor
OR2T33	Receptor
OR2T34	Receptor
OR2T35	Receptor
OR2T4	Receptor
OR2T5	Receptor
OR2T6	Receptor
OR2T7	Receptor
OR2T8	Receptor
OR2V1	Receptor
OR2V2	Receptor
OR2W1	Receptor
OR2W3	Receptor
OR2Y1	Receptor
OR2Z1	Receptor
OR3A1	Receptor
OR3A2	Receptor
OR3A3	Receptor
OR4A15	Receptor
OR4A16	Receptor
OR4A47	Receptor
OR4A5	Receptor
OR4B1	Receptor
OR4C11	Receptor
OR4C12	Receptor
OR4C13	Receptor
OR4C15	Receptor
OR4C16	Receptor
OR4C3	Receptor
OR4C46	Receptor
OR4C5	Receptor
OR4C6	Receptor
OR4D1	Receptor
OR4D10	Receptor
OR4D11	Receptor
OR4D2	Receptor
OR4D5	Receptor
OR4D6	Receptor
OR4D9	Receptor
OR4E2	Receptor
OR4F15	Receptor
OR4F17	Receptor
OR4F21	Receptor
OR4F3	Receptor
OR4F4	Receptor
OR4F5	Receptor
OR4F6	Receptor
OR4K1	Receptor
OR4K13	Receptor
OR4K14	Receptor
OR4K15	Receptor
OR4K17	Receptor
OR4K2	Receptor
OR4K5	Receptor
OR4L1	Receptor
OR4M1	Receptor
OR4M2	Receptor
OR4N2	Receptor
OR4N4	Receptor
OR4N5	Receptor
OR4P4	Receptor
OR4Q2	Receptor
OR4Q3	Receptor
OR4S1	Receptor
OR4S2	Receptor
OR4X1	Receptor
OR4X2	Receptor
OR51A2	Receptor
OR51A4	Receptor
OR51A7	Receptor
OR51B2	Receptor
OR51B4	Receptor
OR51B5	Receptor
OR51B6	Receptor
OR51D1	Receptor
OR51E1	Receptor
OR51E2	Receptor
OR51F1	Receptor
OR51F2	Receptor
OR51G1	Receptor
OR51G2	Receptor
OR51H1	Receptor
OR51I1	Receptor
OR51I2	Receptor
OR51J1	Receptor
OR51L1	Receptor
OR51M1	Receptor
OR51Q1	Receptor
OR51S1	Receptor
OR51T1	Receptor
OR51V1	Receptor
OR52A1	Receptor
OR52A5	Receptor
OR52B2	Receptor
OR52B4	Receptor
OR52B6	Receptor
OR52D1	Receptor
OR52E2	Receptor
OR52E4	Receptor
OR52E5	Receptor
OR52E6	Receptor
OR52E8	Receptor
OR52H1	Receptor
OR52I1	Receptor
OR52I2	Receptor
OR52J3	Receptor
OR52K1	Receptor
OR52K2	Receptor
OR52L1	Receptor
OR52M1	Receptor
OR52N1	Receptor
OR52N2	Receptor
OR52N4	Receptor
OR52N5	Receptor
OR52R1	Receptor
OR52W1	Receptor
OR52Z1	Receptor
OR56A1	Receptor
OR56A3	Receptor
OR56A4	Receptor
OR56A5	Receptor
OR56B1	Receptor
OR56B4	Receptor
OR5A1	Receptor
OR5A2	Receptor
OR5AC2	Receptor
OR5AK2	Receptor
OR5AN1	Receptor
OR5AP2	Receptor
OR5AR1	Receptor
OR5AS1	Receptor
OR5AU1	Receptor
OR5B12	Receptor
OR5B17	Receptor
OR5B2	Receptor
OR5B21	Receptor
OR5B3	Receptor
OR5C1	Receptor
OR5D13	Receptor
OR5D14	Receptor
OR5D16	Receptor
OR5D18	Receptor
OR5F1	Receptor
OR5H1	Receptor
OR5H14	Receptor
OR5H15	Receptor
OR5H2	Receptor
OR5H6	Receptor
OR5I1	Receptor
OR5J2	Receptor
OR5K1	Receptor
OR5K2	Receptor
OR5K3	Receptor
OR5K4	Receptor
OR5L1	Receptor
OR5L2	Receptor
OR5M1	Receptor
OR5M10	Receptor
OR5M11	Receptor
OR5M3	Receptor
OR5M8	Receptor
OR5M9	Receptor
OR5P2	Receptor
OR5P3	Receptor
OR5R1	Receptor
OR5T1	Receptor
OR5T2	Receptor
OR5T3	Receptor
OR5V1	Receptor
OR5W2	Receptor
OR6A2	Receptor
OR6B1	Receptor
OR6B2	Receptor
OR6B3	Receptor
OR6C1	Receptor
OR6C2	Receptor
OR6C3	Receptor
OR6C4	Receptor
OR6C6	Receptor
OR6C65	Receptor
OR6C68	Receptor
OR6C70	Receptor
OR6C74	Receptor
OR6C75	Receptor
OR6C76	Receptor
OR6F1	Receptor
OR6J1	Receptor
OR6K2	Receptor
OR6K3	Receptor
OR6K6	Receptor
OR6M1	Receptor
OR6N1	Receptor
OR6N2	Receptor
OR6P1	Receptor
OR6Q1	Receptor
OR6S1	Receptor
OR6T1	Receptor
OR6V1	Receptor
OR6X1	Receptor
OR6Y1	Receptor
OR7A10	Receptor
OR7A17	Receptor
OR7A5	Receptor
OR7C1	Receptor
OR7C2	Receptor
OR7D2	Receptor
OR7D4	Receptor
OR7E24	Receptor
OR7G1	Receptor
OR7G2	Receptor
OR7G3	Receptor
OR8A1	Receptor
OR8B12	Receptor
OR8B2	Receptor
OR8B3	Receptor
OR8B4	Receptor
OR8B8	Receptor
OR8D1	Receptor
OR8D2	Receptor
OR8D4	Receptor
OR8G1	Receptor
OR8G5	Receptor
OR8H1	Receptor
OR8H2	Receptor
OR8H3	Receptor
OR8I2	Receptor
OR8J1	Receptor
OR8J3	Receptor
OR8K1	Receptor
OR8K3	Receptor
OR8K5	Receptor
OR8S1	Receptor
OR8U1	Receptor
OR8U8	Receptor
OR9A2	Receptor
OR9A4	Receptor
OR9G1	Receptor
OR9G4	Receptor
OR9G9	Receptor
OR9I1	Receptor
OR9K2	Receptor
OR9Q1	Receptor
OR9Q2	Receptor
OSMR	Receptor
OXER1	Receptor
OXGR1	Receptor
OXTR	Receptor
P2RX1	Receptor
P2RX2	Receptor
P2RX3	Receptor
P2RX4	Receptor
P2RX5	Receptor
P2RX6	Receptor
P2RX7	Receptor
P2RY1	Receptor
P2RY10	Receptor
P2RY11	Receptor
P2RY12	Receptor
P2RY13	Receptor
P2RY14	Receptor
P2RY2	Receptor
P2RY4	Receptor
P2RY6	Receptor
P2RY8	Receptor
PAQR7	Receptor
PAQR8	Receptor
PDGFRA	Receptor
PDGFRB	Receptor
PKHD1	Receptor
PLA2R1	Receptor
PLAUR	Receptor
PLXNA3	Receptor
PLXNA4	Receptor
PLXNB1	Receptor
PLXNB2	Receptor
PLXNB3	Receptor
PLXND1	Receptor
PRLHR	Receptor
PRLR	Receptor
PROCR	Receptor
PROKR1	Receptor
PROKR2	Receptor
PTAFR	Receptor
PTCH1	Receptor
PTGDR	Receptor
PTGDR2	Receptor
PTGER1	Receptor
PTGER2	Receptor
PTGER3	Receptor
PTGER4	Receptor
PTGFR	Receptor
PTGIR	Receptor
PTH1R	Receptor
PTH2R	Receptor
PTPRC	Receptor
PTPRD	Receptor
PTPRF	Receptor
PTPRK	Receptor
PTPRM	Receptor
PTPRN2	Receptor
PTPRO	Receptor
PTPRR	Receptor
PTPRS	Receptor
PTPRU	Receptor
PVR	Receptor
PVRL1	Receptor
PVRL2	Receptor
QRFPR	Receptor
RAMP1	Receptor
RAMP2	Receptor
RAMP3	Receptor
RGR	Receptor
RHO	Receptor
ROBO1	Receptor
ROBO4	Receptor
ROR1	Receptor
ROR2	Receptor
ROS1	Receptor
RPSA	Receptor
RPSAP58	Receptor
RRH	Receptor
RTN4R	Receptor
RTN4RL1	Receptor
RTN4RL2	Receptor
RXFP1	Receptor
RXFP2	Receptor
RXFP3	Receptor
RXFP4	Receptor
RYK	Receptor
S1PR1	Receptor
S1PR2	Receptor
S1PR3	Receptor
S1PR4	Receptor
S1PR5	Receptor
SCARA5	Receptor
SCARB1	Receptor
SCARF1	Receptor
SCTR	Receptor
SEMA4D	Receptor
SIGMAR1	Receptor
SLAMF1	Receptor
SLAMF6	Receptor
SLC1A5	Receptor
SLC20A1	Receptor
SLC20A2	Receptor
SLC22A17	Receptor
SLC52A1	Receptor
SLC52A2	Receptor
SMO	Receptor
SORCS3	Receptor
SORL1	Receptor
SORT1	Receptor
SSTR1	Receptor
SSTR2	Receptor
SSTR3	Receptor
SSTR4	Receptor
SSTR5	Receptor
STAB1	Receptor
STAB2	Receptor
STRA6	Receptor
SUCNR1	Receptor
SUSD2	Receptor
TAAR1	Receptor
TAAR2	Receptor
TAAR5	Receptor
TAAR6	Receptor
TAAR8	Receptor
TAAR9	Receptor
TACR1	Receptor
TACR2	Receptor
TACR3	Receptor
TAS1R1	Receptor
TAS1R2	Receptor
TAS1R3	Receptor
TAS2R1	Receptor
TAS2R10	Receptor
TAS2R13	Receptor
TAS2R14	Receptor
TAS2R16	Receptor
TAS2R19	Receptor
TAS2R20	Receptor
TAS2R3	Receptor
TAS2R30	Receptor
TAS2R31	Receptor
TAS2R38	Receptor
TAS2R39	Receptor
TAS2R4	Receptor
TAS2R40	Receptor
TAS2R41	Receptor
TAS2R42	Receptor
TAS2R43	Receptor
TAS2R46	Receptor
TAS2R5	Receptor
TAS2R50	Receptor
TAS2R60	Receptor
TAS2R7	Receptor
TAS2R8	Receptor
TAS2R9	Receptor
TBXA2R	Receptor
TEK	Receptor
TFR2	Receptor
TFRC	Receptor
TGFBR1	Receptor
TGFBR2	Receptor
THBD	Receptor
TIE1	Receptor
TLR1	Receptor
TLR10	Receptor
TLR2	Receptor
TLR3	Receptor
TLR4	Receptor
TLR5	Receptor
TLR6	Receptor
TLR7	Receptor
TLR9	Receptor
TMEM123	Receptor
TNFRSF10A	Receptor
TNFRSF10B	Receptor
TNFRSF10C	Receptor
TNFRSF11A	Receptor
TNFRSF13B	Receptor
TNFRSF14	Receptor
TNFRSF17	Receptor
TNFRSF18	Receptor
TNFRSF1A	Receptor
TNFRSF1B	Receptor
TNFRSF25	Receptor
TNFRSF4	Receptor
TNFRSF8	Receptor
TNFRSF9	Receptor
TREM1	Receptor
TREM2	Receptor
TREML2	Receptor
TRHR	Receptor
TSHR	Receptor
TYRO3	Receptor
UNC5C	Receptor
UTS2R	Receptor
VIPR1	Receptor
VIPR2	Receptor
VLDLR	Receptor
VN1R1	Receptor
VN1R2	Receptor
VN1R4	Receptor
XCR1	Receptor
XPR1	Receptor
ADGRB1	Receptor
ADGRB3	Receptor
ADGRL1	Receptor
OPN1MW	Receptor
OPN1MW2	Receptor
ADGRE5	Receptor
OR4F16	Receptor
OR4F29	Receptor
ADGRG6	Receptor
ADGRG3	Receptor
ADGRF5	Receptor
ADGRG2	Receptor
OR2A1	Receptor
OR2A42	Receptor
ADGRV1	Receptor
ADGRA2	Receptor
ADGRL4	Receptor
ADGRG1	Receptor
ABCA1	Receptor
ABCA7	Receptor
ACE2	Receptor
AGER	Receptor
AGTRAP	Receptor
AMOT	Receptor
ANTXRL	Receptor
ANXA9	Receptor
AOC1	Receptor
ASGR2	Receptor
ATRNL1	Receptor
BAMBI	Receptor
BTN1A1	Receptor
CD14	Receptor
CD163	Receptor
CD163L1	Receptor
CD1D	Receptor
CD28	Receptor
CD33	Receptor
CD46	Receptor
CD47	Receptor
CD48	Receptor
CD5	Receptor
CD5L	Receptor
CD6	Receptor
CD69	Receptor
CD72	Receptor
CD74	Receptor
CD79A	Receptor
CD79B	Receptor
CD8A	Receptor
CD8B	Receptor
CFI	Receptor
CLDN3	Receptor
CLDN4	Receptor
CLEC1A	Receptor
CLEC4A	Receptor
CLEC4E	Receptor
CLEC5A	Receptor
CNTNAP1	Receptor
CRCP	Receptor
CRIM1	Receptor
CRLF1	Receptor
CXCL16	Receptor
DISP1	Receptor
EBI3	Receptor
EBP	Receptor
ENG	Receptor
ENPP1	Receptor
ENPP2	Receptor
ENPP3	Receptor
EVI2A	Receptor
GABRD	Receptor
GABRG1	Receptor
GABRG2	Receptor
GABRG3	Receptor
GABRP	Receptor
GABRQ	Receptor
GABRR1	Receptor
GABRR2	Receptor
GABRR3	Receptor
GP1BA	Receptor
GP1BB	Receptor
GPA33	Receptor
GUCY1A3	Receptor
GUCY1B3	Receptor
GUCY2D	Receptor
GUCY2F	Receptor
HAVCR1	Receptor
HFE2	Receptor
HHIPL1	Receptor
HLA-DOA	Receptor
HLA-DOB	Receptor
HLA-DPA1	Receptor
HLA-DQA1	Receptor
HLA-DQA2	Receptor
HLA-DQB1	Receptor
HLA-DQB2	Receptor
HLA-DRA	Receptor
HLA-DRB1	Receptor
HLA-DRB3	Receptor
IGHM	Receptor
IGSF1	Receptor
IGSF6	Receptor
IL13RA2	Receptor
IL15RA	Receptor
IL18RAP	Receptor
IL1RAPL2	Receptor
IL21R	Receptor
KCNH1	Receptor
KCNH2	Receptor
KCNH3	Receptor
KCNH4	Receptor
KCNH5	Receptor
KCNH8	Receptor
KLRC3	Receptor
LAG3	Receptor
LANCL1	Receptor
LILRA2	Receptor
LILRB5	Receptor
LRP1B	Receptor
LRP5L	Receptor
LRPAP1	Receptor
LRRN2	Receptor
LY9	Receptor
LY96	Receptor
MEGF8	Receptor
MR1	Receptor
NCKAP1L	Receptor
NEO1	Receptor
NFAM1	Receptor
NLGN1	Receptor
NLGN2	Receptor
NLGN3	Receptor
NLGN4X	Receptor
NLGN4Y	Receptor
NPC1L1	Receptor
NPTN	Receptor
NRXN1	Receptor
NRXN3	Receptor
OGFR	Receptor
OGFRL1	Receptor
OPN5	Receptor
PAQR3	Receptor
PAQR4	Receptor
PAQR5	Receptor
PAQR6	Receptor
PAQR9	Receptor
PDGFRL	Receptor
PIGR	Receptor
PKD1L3	Receptor
PKD2L1	Receptor
PKHD1L1	Receptor
PLXDC1	Receptor
PLXDC2	Receptor
PLXNA1	Receptor
PLXNA2	Receptor
PLXNC1	Receptor
PPAN-P2RY11	Receptor
PTCH2	Receptor
PTCHD1	Receptor
PTCHD2	Receptor
PTCHD3	Receptor
PTCHD4	Receptor
PTPRA	Receptor
PTPRB	Receptor
PTPRE	Receptor
PTPRG	Receptor
PTPRH	Receptor
RET	Receptor
RGMA	Receptor
RGMB	Receptor
ROBO2	Receptor
SCARF2	Receptor
SDC4	Receptor
SELE	Receptor
SEMA4A	Receptor
SEMA4B	Receptor
SEMA4C	Receptor
SEMA4F	Receptor
SEMA4G	Receptor
SEMA5A	Receptor
SEMA5B	Receptor
SEMA6A	Receptor
SEMA6B	Receptor
SEMA6C	Receptor
SEMA6D	Receptor
SEMA7A	Receptor
SIGLEC7	Receptor
SIGLEC8	Receptor
SLAMF7	Receptor
SLAMF8	Receptor
SLAMF9	Receptor
SLC40A1	Receptor
SORCS1	Receptor
SORCS2	Receptor
SSC4D	Receptor
SV2A	Receptor
TACSTD2	Receptor
TAPT1	Receptor
THRB	Receptor
TLR8	Receptor
TM2D1	Receptor
TMIGD2	Receptor
TMPRSS13	Receptor
TMPRSS15	Receptor
TMPRSS2	Receptor
TMPRSS3	Receptor
TMPRSS4	Receptor
TMPRSS5	Receptor
TNFRSF10D	Receptor
TNFRSF19	Receptor
TNFRSF6B	Receptor
TPRA1	Receptor
TRPV1	Receptor
TRPV4	Receptor
VAC14	Receptor
CD200R1	Receptor
CHRNA10	Receptor
CHRNA9	Receptor
CHRNB3	Receptor
CHRND	Receptor
FCRL5	Receptor
GLRA3	Receptor
GLRB	Receptor
IL13RA1	Receptor
ITGA1	Receptor
ITGA10	Receptor
ITGA2B	Receptor
ITGA3	Receptor
ITGA4	Receptor
ITGA7	Receptor
ITGA8	Receptor
ITGA9	Receptor
ITGAD	Receptor
ITGAE	Receptor
ITGAM	Receptor
LRP2	Receptor
LRP4	Receptor
NETO1	Receptor
NETO2	Receptor
NOTCH3	Receptor
REEP2	Receptor
TRAF2	Receptor
ABCA12	Receptor
ABCG5	Receptor
ABCG8	Receptor
AMN	Receptor
APP	Receptor
ATP1B1	Receptor
ATP1B3	Receptor
BSG	Receptor
CACNA1A	Receptor
CACNB1	Receptor
CACNG2	Receptor
CACNG3	Receptor
CACNG4	Receptor
CACNG5	Receptor
CACNG7	Receptor
CACNG8	Receptor
CDH1	Receptor
CDH2	Receptor
CR1L	Receptor
CRB3	Receptor
DPP10	Receptor
DPP6	Receptor
EMP2	Receptor
F11R	Receptor
IGHD	Receptor
ITLN1	Receptor
KCTD16	Receptor
KCTD8	Receptor
LRRC4	Receptor
MADCAM1	Receptor
MCOLN1	Receptor
MYADM	Receptor
NFASC	Receptor
NRN1	Receptor
NRXN2	Receptor
RTP1	Receptor
RTP2	Receptor
RTP3	Receptor
RTP4	Receptor
SCN3B	Receptor
SHISA6	Receptor
SHISA9	Receptor
SLITRK5	Receptor
STOML2	Receptor
TAOK2	Receptor
TM7SF2	Receptor
TRAT1	Receptor
TRIL	Receptor
TRPC1	Receptor
TRPV3	Receptor
TSPAN14	Receptor
TSPAN15	Receptor
TSPAN32	Receptor
TSPAN33	Receptor
TSPAN5	Receptor
TUB	Receptor
ZFYVE27	Receptor
CLEC4F	Receptor
CRLF2	Receptor
EPHB2 variant protein	Receptor
FCAR	Receptor
FCER2	Receptor
FCGR1A	Receptor
FCGR1C	Receptor
FCGR2A	Receptor
FCGR2B	Receptor
FCGR2C	Receptor
FCGR3A	Receptor
FCGR3B	Receptor
FCRL1	Receptor
FCRL2	Receptor
FCRL3	Receptor
FCRL4	Receptor
FLT-1	Receptor
FLVCR1	Receptor
FOLR2	Receptor
G6B	Receptor
GFRAL	Receptor
GLRA1	Receptor
GLRA2	Receptor
GLRA4	Receptor
GNRHR2	Receptor
GPCR	Receptor
GPR32P1	Receptor
GUCY2C	Receptor
HBEGF	Receptor
HPFH6OR	Receptor
HSIL5R3	Receptor
HTR4B	Receptor
IGFLR1	Receptor
IGSF11	Receptor
IL1RAPL1	Receptor
IL9R	Receptor
ITGA5	Receptor
ITGA7 variant protein	Receptor
KIR2DL2	Receptor
KIR2DL5A	Receptor
KIR2DL5B	Receptor
KIR2DS1	Receptor
KIR2DS3	Receptor
KIR2DS4	Receptor
KIR2DS5	Receptor
KIR3DL2	Receptor
KIR3DL3	Receptor
KIR-K36	Receptor
KIR-K39	Receptor
KIR-K65	Receptor
KLRF2	Receptor
LAIR1	Receptor
LDLRAD3	Receptor
LMBR1L	Receptor
LPHN1	Receptor
LPHN3	Receptor
LSR	Receptor
LY49L	Receptor
NCR1	Receptor
NCR3	Receptor
NISCH	Receptor
NMDAR2C	Receptor
NR2A	Receptor
OLFR 17-210	Receptor
olfr89	Receptor
OPN1MW; OPN1MW2	Receptor
OR10AC1	Receptor
OR10D4P	Receptor
OR10J4	Receptor
OR10J6P	Receptor
OR11H7	Receptor
OR13C6P	Receptor
OR14L1P	Receptor
OR1D4	Receptor
OR1E3	Receptor
OR1F12	Receptor
OR1F2P	Receptor
OR1P1	Receptor
OR2A1; OR2A42	Receptor
OR2B8P	Receptor
OR2I1P	Receptor
OR2W5	Receptor
OR2W6P	Receptor
OR3A4P	Receptor
OR4A4P	Receptor
OR4A8	Receptor
OR4C45	Receptor
OR4E1	Receptor
OR4F3; OR4F16; OR4F29	Receptor
OR4K3	Receptor
OR52A4P	Receptor
OR52E1	Receptor
OR52L2P	Receptor
OR52P1P	Receptor
OR56B2P	Receptor
OR5AC1	Receptor
OR5AK3P	Receptor
OR5AL1	Receptor
OR5G3	Receptor
OR7A2P	Receptor
OR8G2	Receptor
OR8G3P	Receptor
OR8U9	Receptor
OR9A1P	Receptor
OSCAR	Receptor
P2X4	Receptor
PDCD1LG2	Receptor
PILRA	Receptor
PILRB	Receptor
PTK7	Receptor
PTPRT	Receptor
RELT	Receptor
RYR1	Receptor
RYR2	Receptor
SLC34A2-ROS1	Receptor
SLC7A1	Receptor
TAAR3	Receptor
TACI	Receptor
TAS2R45	Receptor
TCRA	Receptor
TCRB	Receptor
TMEM219	Receptor
TNFRSF12A	Receptor
TNFRSF13C	Receptor
TNFRSF21	Receptor
TRAC	Receptor
TRBC1	Receptor
TRBV12-3	Receptor
TREML1	Receptor
TRGC2	Receptor
TRGV3	Receptor
TRPC7	Receptor
TRPM1	Receptor
TRPM5	Receptor
TRPM7	Receptor
TRPM8	Receptor
UNC5A	Receptor
VN1R17P	Receptor
VN1R3	Receptor
VN1R5	Receptor
ZACN	Receptor
DHRS7C	Ligand
LCN10	Ligand
PGLYRP1	Ligand
PGLYRP4	Ligand
PGLYRP3	Ligand
FGF18	Ligand
CNTF	Ligand
APOC4	Ligand
MUC2	Ligand
SYCN	Ligand
SCGB2A2	Ligand
NPTX1	Ligand
SPESP1	Ligand
METTL7B	Ligand
DHRSX	Ligand
CTRC	Ligand
SDF2L1	Ligand
ASAH2	Ligand
CA10	Ligand
MPPED1	Ligand
PNPLA4	Ligand
ULBP1	Ligand
CELA3B	Ligand
CELA3A	Ligand
PLG	Ligand
HGF	Ligand
FGA	Ligand
IL2	Ligand
LEP	Ligand
APOA1	Ligand
APOC3	Ligand
FGB	Ligand
FGG	Ligand
SAA1	Ligand
INS	Ligand
PDGFB	Ligand
IGF1	Ligand
NGF	Ligand
EPO	Ligand
CCL2	Ligand
PGF	Ligand
EDN1	Ligand
A2M	Ligand
APOA2	Ligand
CRP	Ligand
INHBA	Ligand
PF4	Ligand
IL10	Ligand
PDGFA	Ligand
IL13	Ligand
IL4	Ligand
TG	Ligand
TTR	Ligand
FSHB	Ligand
GDNF	Ligand
LHB	Ligand
LTA	Ligand
NTF4	Ligand
POMC	Ligand
PTHLH	Ligand
THPO	Ligand
LGI1	Ligand
KISS1	Ligand
FGF3	Ligand
VEGFB	Ligand
CCL23	Ligand
CGB	Ligand
CGB5	Ligand
CGB7	Ligand
CGB8	Ligand
CXCL2	Ligand
CXCL9	Ligand
IFNA1	Ligand
IL17A	Ligand
IL7	Ligand
LIF	Ligand
CCL16	Ligand
CSF3	Ligand
CXCL10	Ligand
CXCL5	Ligand
ADM	Ligand
CCL14	Ligand
CCL18	Ligand
GDF15	Ligand
NUCB2	Ligand
SPP1	Ligand
TFF1	Ligand
ANGPT1	Ligand
FIGF	Ligand
CALCA	Ligand
CGA	Ligand
SST	Ligand
ANGPT2	Ligand
BMP2	Ligand
CCL13	Ligand
CCL4	Ligand
CCL8	Ligand
CSF2	Ligand
GAST	Ligand
IFNB1	Ligand
IL17B	Ligand
IL24	Ligand
IL5	Ligand
IL9	Ligand
NTF3	Ligand
PPY	Ligand
IL11	Ligand
CXCL13	Ligand
INHBB	Ligand
MDK	Ligand
MIA	Ligand
VIP	Ligand
VEGFC	Ligand
FGF7	Ligand
FGF4	Ligand
F7	Ligand
REN	Ligand
C3	Ligand
AGT	Ligand
NPPA	Ligand
PLA2G1B	Ligand
NPPB	Ligand
RETN	Ligand
PCSK9	Ligand
IDUA	Ligand
C5	Ligand
AGRP	Ligand
GDF2	Ligand
SLURP1	Ligand
ANGPTL3	Ligand
APOA5	Ligand
HRG	Ligand
KNG1	Ligand
PDYN	Ligand
HAMP	Ligand
AVP	Ligand
GDF1	Ligand
GDF6	Ligand
GDF9	Ligand
GNRH1	Ligand
HCRT	Ligand
IL17F	Ligand
NODAL	Ligand
RSPO1	Ligand
RSPO4	Ligand
GDF3	Ligand
MSTN	Ligand
GREM1	Ligand
SRPX2	Ligand
TAC3	Ligand
AMH	Ligand
BMP15	Ligand
DHH	Ligand
INSL3	Ligand
PROK2	Ligand
IDE	Ligand
CECR1	Ligand
BMP3	Ligand
CXCL3	Ligand
IL26	Ligand
OXT	Ligand
RLN1	Ligand
C19orf80	Ligand
CALCB	Ligand
CYTL1	Ligand
IL32	Ligand
INHBC	Ligand
LACRT	Ligand
APOF	Ligand
CHGB	Ligand
CLEC11A	Ligand
CRH	Ligand
GAL	Ligand
GDF10	Ligand
GHRL	Ligand
GIP	Ligand
GUCA2A	Ligand
INHBE	Ligand
LRG1	Ligand
MANF	Ligand
MBL2	Ligand
NENF	Ligand
PF4V1	Ligand
PPBP	Ligand
REG1A	Ligand
SCG2	Ligand
SCGB3A1	Ligand
VGF	Ligand
