"interaction","ligand","receptor(s)","file","count"
"CYP3A4_NR1H4","CYP3A4","NR1H4","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"CYR61_CAV1","CYR61","CAV1","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx",3
"CYR61_ITGA5","CYR61","ITGA5","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv",4
"CYR61_ITGAM","CYR61","ITGAM","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv",4
"CYR61_ITGAV","CYR61","ITGAV","Human-2015-Choi-LR-pairs.txt; Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv",5
"CYR61_ITGB2","CYR61","ITGB2","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv",4
"CYR61_ITGB3","CYR61","ITGB3","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv",4
"CYR61_ITGB5","CYR61","ITGB5","Human-2015-Choi-LR-pairs.txt; Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv",5
"CYR61_PLXNA3","CYR61","PLXNA3","NicheNet-LR-pairs.csv",1
"CYTL1_CCR2","CYTL1","CCR2","Human-2020-Hou-LR-pairs.xlsx; Human-2022-Dimitrov-LR-pairs.csv; OmniPathPPIs_new.tsv",3
"DAG1_EFNB1","DAG1","EFNB1","Cellinker_Homos_2021.txt",1
"DAG1_LAMA4","DAG1","LAMA4","Human-2020-Hou-LR-pairs.xlsx",1
"DAG1_NRXN3","DAG1","NRXN3","Interaction_input_Vento_Cellphonedbv5_new.csv",1
"DAG1_SARAF","DAG1","SARAF","Cellinker_Homos_2021.txt",1
"DAGLA_CNR1","DAGLA","CNR1","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"DAGLA_CNR2","DAGLA","CNR2","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"DAGLA_GPR55","DAGLA","GPR55","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"DAGLB_CNR1","DAGLB","CNR1","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"DAGLB_CNR2","DAGLB","CNR2","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"DAGLB_GPR55","DAGLB","GPR55","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"DBH, SLC6A2_ADRA1A","DBH, SLC6A2","ADRA1A","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"DBH, SLC6A2_ADRA1B","DBH, SLC6A2","ADRA1B","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"DBH, SLC6A2_ADRA1D","DBH, SLC6A2","ADRA1D","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"DBH, SLC6A2_ADRA2A","DBH, SLC6A2","ADRA2A","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"DBH, SLC6A2_ADRA2B","DBH, SLC6A2","ADRA2B","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"DBH, SLC6A2_ADRA2C","DBH, SLC6A2","ADRA2C","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"DBH, SLC6A2_ADRB1","DBH, SLC6A2","ADRB1","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"DBH, SLC6A2_ADRB2","DBH, SLC6A2","ADRB2","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"DBH, SLC6A2_ADRB3","DBH, SLC6A2","ADRB3","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"DBH_ADRA1A","DBH","ADRA1A","OmniPathPPIs_new.tsv",1
"DBH_ADRA1B","DBH","ADRA1B","OmniPathPPIs_new.tsv",1
"DBH_ADRA1D","DBH","ADRA1D","OmniPathPPIs_new.tsv",1
"DBH_ADRA2A","DBH","ADRA2A","OmniPathPPIs_new.tsv",1
"DBH_ADRA2B","DBH","ADRA2B","OmniPathPPIs_new.tsv",1
"DBH_ADRA2C","DBH","ADRA2C","OmniPathPPIs_new.tsv",1
"DBH_ADRB1","DBH","ADRB1","OmniPathPPIs_new.tsv",1
"DBH_ADRB2","DBH","ADRB2","OmniPathPPIs_new.tsv",1
"DBH_ADRB3","DBH","ADRB3","OmniPathPPIs_new.tsv",1
"DBH_AOC2","DBH","AOC2","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DBH_AOC3","DBH","AOC3","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DBH_GPR161","DBH","GPR161","OmniPathPPIs_new.tsv",1
"DBH_NTRK1","DBH","NTRK1","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DBNL_CD247","DBNL","CD247","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DBNL_CD3D","DBNL","CD3D","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DBNL_CD3E","DBNL","CD3E","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DBNL_CD3G","DBNL","CD3G","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DBNL_HLA-DRA","DBNL","HLA-DRA","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DBNL_HLA-DRB1","DBNL","HLA-DRB1","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DBNL_IL7R","DBNL","IL7R","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DBNL_NTRK1","DBNL","NTRK1","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DBNL_TRAC","DBNL","TRAC","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DBNL_TRBC1","DBNL","TRBC1","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DBP_ACKR1","DBP","ACKR1","Cellinker_Homos_2021.txt; Human-2022-Dimitrov-LR-pairs.csv",2
"DCC_ADORA2B","DCC","ADORA2B","Cellinker_Homos_2021.txt",1
"DCC_DSCAM","DCC","DSCAM","Cellinker_Homos_2021.txt",1
"DCC_VSIG4","DCC","VSIG4","Cellinker_Homos_2021.txt",1
"DCD_ADRA1B","DCD","ADRA1B","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DCD_ANKAR","DCD","ANKAR","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DCD_ESR2","DCD","ESR2","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DCD_GABBR1","DCD","GABBR1","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DCD_ITGA11","DCD","ITGA11","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DCD_ITGA2","DCD","ITGA2","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DCD_ITGB5","DCD","ITGB5","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DCD_MAG","DCD","MAG","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DCD_MSR1","DCD","MSR1","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DCD_NTRK1","DCD","NTRK1","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DCD_OR2T6","DCD","OR2T6","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DCD_OR3A2","DCD","OR3A2","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DCD_OR8D2","DCD","OR8D2","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DCD_RYR2","DCD","RYR2","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DCD_SLC1A5","DCD","SLC1A5","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DCD_TNFRSF14","DCD","TNFRSF14","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DCHS1_RYK","DCHS1","RYK","NicheNet-LR-pairs.csv",1
"DCLK3_RAMP1","DCLK3","RAMP1","Cellinker_Homos_2021.txt",1
"DCLK3_RAMP2","DCLK3","RAMP2","Cellinker_Homos_2021.txt",1
"DCLK3_RAMP3","DCLK3","RAMP3","Cellinker_Homos_2021.txt",1
"DCN_COL14A1","DCN","COL14A1","Human-2015-Choi-LR-pairs.txt",1
"DCN_EGFR","DCN","EGFR","Cellinker_Homos_2021.txt; Human-2015-Choi-LR-pairs.txt; Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; ICELLNETdb_v2_new.xlsx; LRdb_122019_SingleCellSignalIR.xlsx; OmniPathPPIs_new.tsv",10
"DCN_ERBB4","DCN","ERBB4","CellCall-2021_new.xlsx; Cellinker_Homos_2021.txt; Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; ICELLNETdb_v2_new.xlsx; LRdb_122019_SingleCellSignalIR.xlsx; OmniPathPPIs_new.tsv",10
"DCN_IGF1R","DCN","IGF1R","Cellinker_Homos_2021.txt",1
"DCN_KDR","DCN","KDR","Cellinker_Homos_2021.txt; ICELLNETdb_v2_new.xlsx",2
"DCN_LRP1","DCN","LRP1","Cellinker_Homos_2021.txt",1
"DCN_MET","DCN","MET","CellCall-2021_new.xlsx; Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; ICELLNETdb_v2_new.xlsx; LRdb_122019_SingleCellSignalIR.xlsx; OmniPathPPIs_new.tsv",9
"DCN_TGFB1","DCN","TGFB1","OmniPathPPIs_new.tsv",1
"DCN_TLR2","DCN","TLR2","Cellinker_Homos_2021.txt; Human-2020-Hou-LR-pairs.xlsx; Human-2022-Dimitrov-LR-pairs.csv; ICELLNETdb_v2_new.xlsx; OmniPathPPIs_new.tsv",5
"DCN_TLR4","DCN","TLR4","Cellinker_Homos_2021.txt; Human-2020-Hou-LR-pairs.xlsx; Human-2022-Dimitrov-LR-pairs.csv; ICELLNETdb_v2_new.xlsx; OmniPathPPIs_new.tsv",5
"DCN_VEGFA","DCN","VEGFA","OmniPathPPIs_new.tsv",1
"DDC_DRD1","DDC","DRD1","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx; Human-2017-Pavlicev-LR-pairs.xlsx",2
"DDC_DRD2","DDC","DRD2","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx; Human-2017-Pavlicev-LR-pairs.xlsx",2
"DDC_DRD3","DDC","DRD3","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx; Human-2017-Pavlicev-LR-pairs.xlsx",2
"DDC_DRD4","DDC","DRD4","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx; Human-2017-Pavlicev-LR-pairs.xlsx",2
"DDC_DRD5","DDC","DRD5","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx; Human-2017-Pavlicev-LR-pairs.xlsx",2
"DDC_HTR1A","DDC","HTR1A","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx; Human-2017-Pavlicev-LR-pairs.xlsx",2
"DDC_HTR1B","DDC","HTR1B","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx; Human-2017-Pavlicev-LR-pairs.xlsx",2
"DDC_HTR1D","DDC","HTR1D","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx; Human-2017-Pavlicev-LR-pairs.xlsx",2
"DDC_HTR1E","DDC","HTR1E","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx; Human-2017-Pavlicev-LR-pairs.xlsx",2
"DDC_HTR1F","DDC","HTR1F","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx; Human-2017-Pavlicev-LR-pairs.xlsx",2
"DDC_HTR2A","DDC","HTR2A","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx; Human-2017-Pavlicev-LR-pairs.xlsx",2
"DDC_HTR2B","DDC","HTR2B","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx; Human-2017-Pavlicev-LR-pairs.xlsx",2
"DDC_HTR2C","DDC","HTR2C","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx; Human-2017-Pavlicev-LR-pairs.xlsx",2
"DDC_HTR3A","DDC","HTR3A","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"DDC_HTR3B","DDC","HTR3B","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"DDC_HTR3C","DDC","HTR3C","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"DDC_HTR3D","DDC","HTR3D","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"DDC_HTR3E","DDC","HTR3E","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"DDC_HTR4","DDC","HTR4","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx; Human-2017-Pavlicev-LR-pairs.xlsx",2
"DDC_HTR5A","DDC","HTR5A","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx; Human-2017-Pavlicev-LR-pairs.xlsx",2
"DDC_HTR5BP","DDC","HTR5BP","Human-2017-Pavlicev-LR-pairs.xlsx",1
"DDC_HTR6","DDC","HTR6","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx; Human-2017-Pavlicev-LR-pairs.xlsx",2
"DDC_HTR7","DDC","HTR7","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx; Human-2017-Pavlicev-LR-pairs.xlsx",2
"DDC_TAAR1","DDC","TAAR1","Human-2017-Pavlicev-LR-pairs.xlsx",1
"DDR1_ITGB4","DDR1","ITGB4","OmniPathPPIs_new.tsv",1
"DDR1_LY6G6F","DDR1","LY6G6F","Cellinker_Homos_2021.txt",1
"DDR1_TM4SF1","DDR1","TM4SF1","OmniPathPPIs_new.tsv",1
"DDR2_DDR1","DDR2","DDR1","Cellinker_Homos_2021.txt",1
"DEFA6_APP","DEFA6","APP","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DEFB103A_CCR2","DEFB103A","CCR2","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; ICELLNETdb_v2_new.xlsx; LRdb_122019_SingleCellSignalIR.xlsx",5
"DEFB103A_CCR6","DEFB103A","CCR6","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2019-Ximerakis-BaderLab-2017_new2.xlsx; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; ICELLNETdb_v2_new.xlsx; LRdb_122019_SingleCellSignalIR.xlsx",8
"DEFB103A_TLR1","DEFB103A","TLR1","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DEFB103A_TLR2","DEFB103A","TLR2","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DEFB103B_CCR2","DEFB103B","CCR2","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2019-Ximerakis-BaderLab-2017_new2.xlsx; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; ICELLNETdb_v2_new.xlsx; LRdb_122019_SingleCellSignalIR.xlsx; OmniPathPPIs_new.tsv",8
"DEFB103B_CCR6","DEFB103B","CCR6","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2019-Ximerakis-BaderLab-2017_new2.xlsx; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; ICELLNETdb_v2_new.xlsx; LRdb_122019_SingleCellSignalIR.xlsx; OmniPathPPIs_new.tsv",8
"DEFB103B_TLR1","DEFB103B","TLR1","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DEFB103B_TLR2","DEFB103B","TLR2","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DEFB106A_CCR2","DEFB106A","CCR2","Cellinker_Homos_2021.txt; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; ICELLNETdb_v2_new.xlsx; LRdb_122019_SingleCellSignalIR.xlsx; OmniPathPPIs_new.tsv",6
"DEFB106B_CCR2","DEFB106B","CCR2","Human-2022-Dimitrov-LR-pairs.csv; ICELLNETdb_v2_new.xlsx",2
"DEFB119_NR3C1","DEFB119","NR3C1","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DEFB1_CCR6","DEFB1","CCR6","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2019-Ximerakis-BaderLab-2017_new2.xlsx; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; ICELLNETdb_v2_new.xlsx; LRdb_122019_SingleCellSignalIR.xlsx; OmniPathPPIs_new.tsv",9
"DEFB4A_CCR2","DEFB4A","CCR2","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx; ICELLNETdb_v2_new.xlsx",2
"DEFB4A_CCR6","DEFB4A","CCR6","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2017-Pavlicev-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2019-Ximerakis-BaderLab-2017_new2.xlsx; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; ICELLNETdb_v2_new.xlsx; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv; OmniPathPPIs_new.tsv",11
"DEFB4A_TLR4","DEFB4A","TLR4","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2019-Ximerakis-BaderLab-2017_new2.xlsx; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; ICELLNETdb_v2_new.xlsx; LRdb_122019_SingleCellSignalIR.xlsx; OmniPathPPIs_new.tsv",8
"DEFB4B_CCR2","DEFB4B","CCR2","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx; ICELLNETdb_v2_new.xlsx",2
"DEFB4B_CCR6","DEFB4B","CCR6","Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2019-Ximerakis-BaderLab-2017_new2.xlsx; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; ICELLNETdb_v2_new.xlsx; NicheNet-LR-pairs.csv",9
"DEFB4B_TLR4","DEFB4B","TLR4","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx; Human-2022-Dimitrov-LR-pairs.csv; ICELLNETdb_v2_new.xlsx",3
"DHCR24_RORA","DHCR24","RORA","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"DHCR24_RORC","DHCR24","RORC","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"DHCR7_NR1H2","DHCR7","NR1H2","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"DHCR7_NR1H3","DHCR7","NR1H3","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"DHCR7_RORA","DHCR7","RORA","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"DHCR7_RORC","DHCR7","RORC","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"DHH_ADAM17","DHH","ADAM17","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_ADORA1","DHH","ADORA1","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_ADORA2A","DHH","ADORA2A","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_ADORA2B","DHH","ADORA2B","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_AGTR1","DHH","AGTR1","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_AGTR2","DHH","AGTR2","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_BOC","DHH","BOC","Cellinker_Homos_2021.txt; Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; OmniPathPPIs_new.tsv",8
"DHH_CDON","DHH","CDON","Cellinker_Homos_2021.txt; Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; OmniPathPPIs_new.tsv",8
"DHH_CXCR1","DHH","CXCR1","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_CXCR2","DHH","CXCR2","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_DRD1","DHH","DRD1","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_DRD2","DHH","DRD2","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_DRD3","DHH","DRD3","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_DRD4","DHH","DRD4","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_DRD5","DHH","DRD5","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_FZD1","DHH","FZD1","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_FZD10","DHH","FZD10","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_FZD2","DHH","FZD2","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_FZD3","DHH","FZD3","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_FZD5","DHH","FZD5","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_FZD6","DHH","FZD6","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_FZD7","DHH","FZD7","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_FZD8","DHH","FZD8","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_FZD9","DHH","FZD9","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_GAS1","DHH","GAS1","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_GRM1","DHH","GRM1","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_GRM2","DHH","GRM2","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_GRM3","DHH","GRM3","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_GRM4","DHH","GRM4","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_GRM5","DHH","GRM5","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_GRM6","DHH","GRM6","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_GRM7","DHH","GRM7","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_GRM8","DHH","GRM8","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_HHIP","DHH","HHIP","Cellinker_Homos_2021.txt; Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv; OmniPathPPIs_new.tsv",9
"DHH_PPARA","DHH","PPARA","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DHH_PTCH 1/2 / SMO","DHH","PTCH 1/2 / SMO","Human-2010-Kirouac-LR-pairs_new.xlsx",1
"DHH_PTCH1","DHH","PTCH1","Cellinker_Homos_2021.txt; Human-2015-Choi-LR-pairs.txt; Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2019-Ximerakis-BaderLab-2017_new2.xlsx; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv; OmniPathPPIs_new.tsv",10
"DHH_PTCH2","DHH","PTCH2","Cellinker_Homos_2021.txt; Human-2015-Choi-LR-pairs.txt; Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2019-Ximerakis-BaderLab-2017_new2.xlsx; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv; OmniPathPPIs_new.tsv",10
"DHH_SMO","DHH","SMO","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx; NicheNet-LR-pairs.csv",2
"DHRS9_PGR","DHRS9","PGR","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"DHRSX_APP","DHRSX","APP","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DIO3, TG_THRA","DIO3, TG","THRA","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"DIO3, TG_THRB","DIO3, TG","THRB","CellChatDB.humanv2-2023-Jin-LR-pairs_new.xlsx",1
"DKK1_CKAP4","DKK1","CKAP4","CCIDB_Human_new.xlsx",1
"DKK1_DPP4","DKK1","DPP4","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DKK1_FZD1","DKK1","FZD1","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DKK1_FZD2","DKK1","FZD2","Human-2019-Ximerakis-BaderLab-2017_new2.xlsx",1
"DKK1_KIT","DKK1","KIT","NicheNet-LR-pairs.csv",1
"DKK1_KREMEN1","DKK1","KREMEN1","Cellinker_Homos_2021.txt; Human-2015-Choi-LR-pairs.txt; Human-2015-Ramilowski-LR-pairs.xlsx; Human-2019-Wang-LR-pairs.csv; Human-2020-Hou-LR-pairs.xlsx; Human-2020-Shao-LR-pairs.txt; Human-2022-Dimitrov-LR-pairs.csv; ICELLNETdb_v2_new.xlsx; LRdb_122019_SingleCellSignalIR.xlsx; NicheNet-LR-pairs.csv; OmniPathPPIs_new.tsv",11
